Ⴌ,Ⴒ
Ⴌ,Ⴕ
Ⴌ,Ⴞ
Ⴌ,Ⴟ
Ⴌ,Ⴤ
Ⴌ,Ⴥ
Ⴌ,ბ
Ⴌ,ლ
Ⴌ,პ
Ⴌ,რ
Ⴌ,ც
Ⴌ,ჭ
Ⴌ,ჱ
Ⴌ,ჵ
Ⴌ,ჶ
Ⴌ,ჸ
Ⴌ,჻
Ⴌ,ᴕ
Ⴌ,ᴥ
Ⴌ,ᵹ
Ⴌ,ᵻ
Ⴌ,‖
Ⴌ,†
Ⴌ,‡
Ⴌ,•
Ⴌ,※
Ⴌ,‼
Ⴌ,‽
Ⴌ,‿
Ⴌ,⁀
Ⴌ,⁁
Ⴌ,⁂
Ⴌ,⁅
Ⴌ,⁆
Ⴌ,⁇
Ⴌ,⁊
Ⴌ,⁌
Ⴌ,⁍
Ⴌ,⁐
Ⴌ,⁑
Ⴌ,⁒
Ⴌ,⁓
Ⴌ,⁖
Ⴌ,⁘
Ⴌ,⁙
Ⴌ,⁜
Ⴌ,₠
Ⴌ,₡
Ⴌ,₤
Ⴌ,₦
Ⴌ,₩
Ⴌ,₪
Ⴌ,₭
Ⴌ,₮
Ⴌ,₱
Ⴌ,₳
Ⴌ,₴
Ⴌ,₸
Ⴌ,₹
Ⴌ,←
Ⴌ,↑
Ⴌ,→
Ⴌ,↓
Ⴌ,↔
Ⴌ,↕
Ⴌ,↖
Ⴌ,↗
Ⴌ,↘
Ⴌ,↙
Ⴌ,↞
Ⴌ,↟
Ⴌ,↠
Ⴌ,↡
Ⴌ,↢
Ⴌ,↣
Ⴌ,↩
Ⴌ,↪
Ⴌ,↭
Ⴌ,↯
Ⴌ,↰
Ⴌ,↱
Ⴌ,↲
Ⴌ,↳
Ⴌ,↴
Ⴌ,↵
Ⴌ,↶
Ⴌ,↷
Ⴌ,↸
Ⴌ,↹
Ⴌ,↺
Ⴌ,↻
Ⴌ,⇋
Ⴌ,⇌
Ⴌ,⇍
Ⴌ,⇏
Ⴌ,⇐
Ⴌ,⇑
Ⴌ,⇒
Ⴌ,⇓
Ⴌ,⇔
Ⴌ,⇞
Ⴌ,⇟
Ⴌ,⇠
Ⴌ,⇡
Ⴌ,⇢
Ⴌ,⇣
Ⴌ,⇤
Ⴌ,⇥
Ⴌ,⇦
Ⴌ,⇧
Ⴌ,⇨
Ⴌ,⇩
Ⴌ,⇰
Ⴌ,⇱
Ⴌ,⇲
Ⴌ,⇽
Ⴌ,⇾
Ⴌ,⇿
Ⴌ,⌂
Ⴌ,⌇
Ⴌ,⌑
Ⴌ,⌒
Ⴌ,⌓
Ⴌ,⌔
Ⴌ,⌕
Ⴌ,⌖
Ⴌ,⌗
Ⴌ,⌘
Ⴌ,⌥
Ⴌ,⌦
Ⴌ,⌧
Ⴌ,⌫
Ⴌ,⌬
Ⴌ,⌭
Ⴌ,⌲
Ⴌ,⌶
Ⴌ,⌺
Ⴌ,⌽
Ⴌ,⍉
Ⴌ,⍋
Ⴌ,⍙
Ⴌ,⍚
Ⴌ,⍜
Ⴌ,⍝
Ⴌ,⍻
Ⴌ,⍾
Ⴌ,⎄
Ⴌ,⎆
Ⴌ,⎇
Ⴌ,⎈
Ⴌ,⎋
Ⴌ,⎌
Ⴌ,⎍
Ⴌ,⎑
Ⴌ,⎔
Ⴌ,⎖
Ⴌ,⏁
Ⴌ,⏂
